running_no;vatn_lnr;NAVN;alt_lake;lake_area;lake_perimeter;x_coord;y_coord;perimeter_km;perim.area.ratio;buffer100slope;predmeandyp;catch_area;ndvi_9mnt;slope;bog;arable;catch_lake;temp;runoff;ndep;alt;uvb;prec_had_61_90;TRS_2_Myr;TRS_10_Innsjø;TRS_11_ElvBekk;TRS_3_DyrketMark;TRS_1_Skog;TRS_15_FerskvannTørrfall;TRS_NODATA;P_cc.m;Si_cc.m;Ntot_cc.m;NO3_cc.m;TOC_cc.m;tm_hada2;tm_hadcn;rr_hada2;rr_hadcn
46;69;Heddersvatnet;1138;1.8181;9666;148.9975909;6649.648976;9.666;-0.578111429;10.31524899;12.22264008;10334071;119.43;11.2948;0.006307618;0;0.190926735;-12.73;1450.7;0.5962;1271.8;9027.54;1939.805825;0.006307618;0.190926735;0;0;0;0;0.802765648;2.433728529;0.587291787;111.9371134;30.26567947;0.812359447;4.448484848;0.925757576;1461.060606;1393.939394
191;282;Holmsjoeen;559;1.1419;10956;318.2505722;6785.015622;10.956;0.977997269;3.251743246;5.051951957;5672718;135.04;3.54315;0.148992112;0;0.204645048;15;725.4;0.5084;596.98;7991.06;930.2999555;0.148992112;0.204645048;0;0;0.645924628;0;0.000438212;4.224418524;1.136721284;249.8621615;14.45614446;5.683017017;5.919444444;2.259722222;820.4166667;768.1944444
209;331;Holvatn;164;1.1466;12593;301.0459808;6556.409925;12.593;1.497871784;4.253471817;3.127627678;7907906;146.27;1.33141;0.050949367;0;0.177531646;57.65;399.49;0.9482;194.53;8650.72;956.3636652;0.050949367;0.177531646;0;0;0.770886076;0;0.000632911;4.015272238;1.94386095;466.0307301;51.31579045;9.94581313;10.76428571;7.185714286;707.7380952;718.6904762
240;368;Storboerja;301;1.1551;11854;328.0679166;6666.003898;11.854;1.250809198;3.054114044;4.327033059;34968990;139.53;1.99052;0.134843504;0;0.014792054;36.72;483.04;0.7045;342.58;8147.74;848.6719788;0.134843504;0.014792054;0;0;0.801057596;0;0.002072317;5.396319789;3.116135108;362.2919574;24.83333948;10.83786315;8.779398148;5.080324074;708.8888889;716.3657407
463;716;Storgaasvatnet;493;2.7783;13601;414.1398576;7216.797639;13.601;-0.26422766;12.80204617;25.66064982;10929626;115.81;3.84386;0.001127904;0;0.282878412;22.13;1455.04;0.2773;557.52;6497.86;1539.230453;0.001127904;0.282878412;0;0;0.014662757;0;0.701330927;1.843997155;0.397614747;115.332741;26.90393176;0.755936139;5.939583333;2.611805556;1620.902778;1532.361111
524;806;Kjemaavatnet;626;2.5999;11660;517.9659176;7403.630471;11.66;-0.695548937;6.342956694;14.89360922;46238056;105.74;9.48912;0.01083967;0;0.061155153;-8.97;1103.71;0.1897;921.73;6087.64;1163.366079;0.01083967;0.061155153;0.00415251;0;0.04335868;0;0.869168959;2.162861426;0.753989979;76.33248765;12.4223751;0.671554788;3.927304965;0.326950355;1231.737589;1222.304965
661;1001;Kjerrvatnet;209;1.4147;10803;543.4576516;7552.874435;10.803;0.427161353;12.24533675;15.46343947;6293628;126.64;4.18356;0.049206349;0;0.245634921;25.86;1138.22;0.1332;241.37;5601.08;1454.066727;0.049206349;0.245634921;0;0;0.374603175;0;0.330555556;2.691819293;0.741803656;134.5165261;7.566222129;2.845889541;8.560714286;5.129761905;1614.642857;1385.47619
715;1094;Skurevatn;1266;1.1474;9900;81.04910308;6628.418851;9.9;0.581522758;18.08066722;15.11376246;7495608;112.42;3.95051;0;0;0.237999329;-12.84;1409.05;0.6639;1348.26;9048;2303.014706;0;0.237999329;0;0;0;0;0.762000671;2.183701316;0.374531594;116.1030119;45.50182404;0.427067429;4.126041667;0.658333333;1888.645833;1837.395833
768;1174;Stigebottsvatnet;815;0.9637;11142;55.58481695;6537.742761;11.142;1.4359175;9.942696465;5.052306874;5526421;124.26;1.99089;0.005464481;0;0.20856102;22.45;2111.01;0.9495;830.89;8833.89;2716.172053;0.005464481;0.20856102;0;0;0;0;0.785974499;2.625060507;0.435693907;189.0109328;74.6774398;0.977930106;7.255555556;3.813888889;2120.555556;2160.833333
910;1373;Heievatnet;500;0.266;4361;34.66777093;6526.997883;4.361;0.858503388;6.852240605;1.25255805;11497555;127.01;7.02143;0.060315284;0.005940142;0.063285355;35.51;1979.86;1.022;626.82;8385.22;2758.899271;0.060315284;0.063285355;0.000685401;0.005940142;0.117888965;0;0.751884853;3.691566411;0.901352215;225.4319162;95.08873456;1.93167516;8.481944444;5.097222222;2236.25;2251.319444
947;1431;store_Eitlandsvatnet;394;1.2038;8413;18.80148942;6512.7803;8.413;-0.148648904;22.20687926;12.66278019;6513558;134.18;3.7265;0.037582332;0;0.271600155;48.28;2048.49;0.9997;435.71;8312.44;2635.646697;0.037582332;0.271600155;0;0;0.438202247;0;0.252615265;2.617583423;0.540276505;241.2704471;71.33140121;2.368647741;10.11166667;6.795;2329.333333;2276.666667
1027;1545;Homsvatnet;130;0.532;5464;-30.09616834;6527.488732;5.464;0.106443397;19.70235057;3.577160326;8084945;129.97;2.79045;0.019546028;0;0.130201765;62.73;1741.6;0.8955;190.01;8404.37;1928.76142;0.019546028;0.130201765;0;0;0.038776797;0;0.81147541;2.445729758;0.747563859;241.0611888;92.50612215;1.956202044;11.21145833;8.028125;2055.625;1882.916667
1103;1651;Nystoelsvatnet;715;1.269;8791;45.44624525;6830.963774;8.791;-0.104022755;20.50912861;24.23604029;22507688;105.14;12.7471;0;0;0.181818182;12.09;3357.95;0.5303;1078.57;7728.19;4857.689037;0;0.181818182;0.000780814;0;0;0;0.795092025;1.425847239;0.269454581;77.80212305;60.80468053;0.248147848;6.108333333;2.982246377;3644.673913;3478.115942
1291;1935;Movatnet;422;1.0405;7201;38.98188459;6904.107908;7.201;-0.401575158;14.03120966;17.82316706;21177038;121.49;17.5405;0.023843416;0;0.083036773;32.17;2423.97;0.4587;746.32;7233.89;3425.896682;0.023843416;0.083036773;0;0;0.181494662;0;0.7113879;2.107674606;0.75690919;115.3265465;36.18196915;1.287338491;7.727777778;4.853968254;2946.190476;2861.547619
1641;2430;Oksevatnet;143;2.7378;7991;1089.507966;7881.401301;7.991;-2.252090785;5.023125847;3.450911362;8077094;116.17;1.41697;0.020006156;0;0.361341951;6.8;668.36;0.0653;153.7;5235.9;659.540019;0.020006156;0.361341951;0;0;0;0;0.618651893;2.445148638;0.497579844;110.4875539;4.071350449;1.426537302;6.032407407;2.481481481;1022.777778;930.3703704
1645;2437;Skaidejavri;322;1.7937;14801;1036.084932;7821.788285;14.801;1.073146167;10.708224;6.348075902;7403882;111.98;1.65434;0;0;0.2969016;-5.18;460.69;0.0796;337.21;5638;647.4888363;0;0.2969016;0;0;0;0;0.7030984;2.208363516;0.602758713;98.41454513;5.844726907;0.92264824;4.034722222;0.076388889;665.2777778;610.5555556
1658;2456;Foelvatnet;177;2.5987;16107;1047.081472;7747.120485;16.107;0.533877242;3.491609988;2.285401275;8757565;119.25;1.13592;0.055951728;0;0.309380143;-1.41;319;0.0947;186.54;5744.63;490.7559283;0.055951728;0.309380143;0;0;0.549369172;0;0.085298958;3.204107748;0.820306095;152.6804698;3.893607356;2.530269879;4.222222222;0.084259259;475.2777778;404.6296296
1673;2474;Store_Valvatnet;157;3.5949;20016;1100.598703;7809.330297;20.016;0.606512065;18.96498558;10.64870388;19821212;113.3;4.44071;0.002415152;0;0.221049956;0.2;556.55;0.0815;234.23;5520.26;701.3208071;0.002415152;0.221049956;0;0;0.198805135;0;0.577729757;2.121418519;0.770911742;88.2401225;5.671576746;1.13389788;4.45462963;0.636111111;-10;-10
1906;3238;Store_Lyseren;229;0.5177;4906;318.2538985;6630.695095;4.906;-0.239821124;6.424961834;4.838600544;2953782;141.96;3.25999;0.027027027;0.004222973;0.208614865;45.52;502.25;0.7736;268.81;8317;889.6548223;0.027027027;0.208614865;0;0.004222973;0.758445946;0;0.001689189;3.98864594;1.56923065;360.7792996;62.5603025;5.885922617;9.308333333;5.616666667;730.4166667;743.3333333
2152;3555;Breidtjern;190;0.2442;4612;309.900162;6557.505244;4.612;1.26976343;6.15049374;1.327918167;2118388;146.49;1.12851;0.038915094;0;0.125;55.59;459.65;0.9258;211.53;8509;987.2561692;0.038915094;0.125;0;0;0.836084906;0;0;4.289341706;2.12914667;454.3554589;52.17910876;9.842801358;10.57083333;6.9875;343.3333333;348.3333333
2337;3838;Skurvsjoeen;428;0.4642;5693;317.1591195;6718.134123;5.693;0.579035611;8.094267263;6.575215716;20986846;134.38;4.02389;0.13563272;0;0.039501282;23.34;418.88;0.6199;519.32;7799.13;926.7067764;0.13563272;0.039501282;0.000466092;0;0.824166861;0;0.000233046;4.587346754;2.597948944;283.2419991;19.68073311;7.997965037;7.29484127;3.592857143;812.9365079;787.3412698
3267;5114;Langvatn;342;0.5465;4252;264.2900888;6670.821644;4.252;-0.909418804;6.558212592;7.695370881;7848266;137.94;3.9594;0.057452921;0.002872646;0.167890201;35.26;1150.07;0.7034;394.3;8019.05;1209.705059;0.057452921;0.167890201;0;0.002872646;0.771145867;0;0.000638366;4.106419489;1.093148996;277.9382287;46.15142504;4.354856809;8.941666667;5.253571429;1012.857143;958.8095238
3328;5269;Breidlivatnet;634;0.3102;4395;229.0182512;6658.146542;4.395;0.531141303;6.383469676;5.985173871;1441538;136.36;4.66137;0.072289157;0;0.213425129;21.19;557.5;0.716;616.65;8436;1223.381693;0.072289157;0.213425129;0;0;0.703958692;0;0.010327022;3.571411248;1.298026323;261.5186262;26.64762146;5.027181842;7.7125;4.079166667;1332.916667;1239.583333
3587;5742;oeyvannet;442;0.3618;5381;223.9782733;6621.264947;5.381;0.943375799;8.909402305;4.576287814;5221587;140.01;4.3638;0.081124932;0;0.094645754;35.53;942.47;0.7675;469.66;8717.98;1407.964589;0.081124932;0.094645754;0;0;0.822606814;0;0.001622499;4.012500219;1.632430099;277.9683256;32.53174798;6.11487813;8.988333333;5.36;1139.166667;1096.166667
3649;5828;Ravnsjoeen;82;0.2862;3544;272.9670565;6591.698584;3.544;-0.100058675;10.99657764;3.41563872;3083382;146.59;1.59176;0.02122449;0.00244898;0.099591837;61.22;508.71;0.7827;127.83;8624.62;923.740228;0.02122449;0.099591837;0;0.00244898;0.871020408;0;0.005714286;4.5246308;2.348527683;441.3950137;69.06204284;8.450140969;10.88333333;7.25;824.1666667;820.8333333
3664;5844;Isebakktjernet;60;0.1974;3232;270.7068548;6585.515039;3.232;0.412001601;9.467251124;3.103076606;3276410;140.23;2.05343;0.142638037;0.031441718;0.065184049;65.39;467.42;0.7894;73.96;8744.78;887.1734148;0.142638037;0.065184049;0;0.031441718;0.755368098;0;0.004601227;7.185645017;2.367836589;589.1022296;102.5572067;8.262761028;11.15833333;7.519444444;842.7777778;823.8888889
3754;5961;Skakktjern;547;0.0796;1520;181.6018399;6653.116095;1.52;-0.347331692;7.182265108;9.94263675;4668141;134.47;10.3899;0.180957684;0;0.037861915;19.3;759.54;0.6513;658.86;8722;1108.144426;0.180957684;0.037861915;0;0;0.765033408;0;0.016146993;4.398929426;2.191849075;229.9200168;17.84003832;6.646417544;7.2;3.65;844.1666667;827.7777778
4587;7272;Langtjernet;518;0.2321;3809;209.613412;6703.8155;3.809;0.660517355;7.351503193;6.939160001;4547978;135.15;3.59396;0.059471366;0;0.068281938;18.61;605.57;0.5625;588.3;8308.26;1179.058986;0.059471366;0.068281938;0;0;0.871145374;0;0.001101322;4.167657713;1.940527346;242.6550261;22.10770639;5.199217101;6.733333333;3.152777778;1065.277778;1002.361111
5401;9219;Grimdalsvatnet;465;0.3337;5921;92.95693586;6533.153928;5.921;1.494634222;9.732524045;1.293129086;8840797;130.46;4.22212;0.08742549;0;0.089128584;37.58;1249.43;0.9377;585.34;8837.69;1774.010759;0.08742549;0.089128584;0;0;0.559182515;0;0.264263412;3.329983061;1.064805119;245.1641471;48.65151419;3.037333408;9.116666667;5.623148148;1522.592593;1574.722222
5501;9534;Sandvatnet;150;0.2222;7124;150.3800969;6521.787789;7.124;3.141919183;7.874692297;0.809915858;3704220;146.09;2.5116;0.060082873;0;0.077348066;60.99;689.98;0.8837;184.14;8951;1238.90069;0.060082873;0.077348066;0;0;0.861187845;0;0.001381215;4.060166293;2.270000848;387.8095038;49.836732;9.30050973;11.41944444;7.872222222;1351.666667;1273.888889
5728;10127;Hundevatnet;286;0.3102;5521;125.0573667;6513.093858;5.521;1.398261586;9.184929448;0.825051482;2281133;143.96;3.91996;0.106285714;0;0.132571429;52.31;1131.37;0.9013;290.15;8980.96;1560.87541;0.106285714;0.132571429;0;0;0.761142857;0;0;3.925151477;1.44353257;331.4110651;41.22792652;7.464371891;10.44166667;6.929166667;1358.333333;1313.333333
5802;10305;Trollselvatnet;615;0.2614;5728;46.76969413;6516.318703;5.728;1.935572942;7.642906769;0.913926824;3322734;130.72;5.79496;0.049279757;0;0.119787718;33.31;2145.44;1.0357;686.65;8598.23;2653.613073;0.049279757;0.119787718;0;0;0.0030326;0;0.827899924;2.982606561;0.764742763;205.8302364;60.87489289;2.216904119;8.266666667;4.866666667;2375.833333;2385.833333
6107;10926;Grunnevatn;246;0.2892;7183;89.53648083;6493.518243;7.183;2.561434998;10.82069418;0.554852879;3811258;143.04;2.19217;0.059771659;0;0.089993284;56.05;1314.2;0.9467;282.69;8938.65;1729.997387;0.059771659;0.089993284;0;0;0.842847549;0;0.007387508;3.95397442;1.427596847;339.4825736;55.89480734;6.059308393;10.75208333;7.254166667;1531.458333;1470
6186;11078;Sognevatnet;267;0.2387;5529;71.44299526;6487.548015;5.529;2.012056047;5.664485836;0.492082714;13031445;144.69;2.68839;0.127422196;0.031904482;0.056566843;53.61;1195.78;1.0532;342.92;8859.25;1839.648754;0.127422196;0.056566843;0;0.031904482;0.769622235;0;0.014484243;8.186565864;1.830782669;525.946467;121.190776;7.780753556;10.27708333;6.830555556;1680.625;1659.236111
